COUNTRY,PRODUCT_DESCRIPTION,COUNTRY_DIRECTION,Status,Keyword
INDIA,DBX1 11 SUK NEEDLES PI NO-336195,INDIA_EXPORT,TRUE,['suk needle']
INDIA,PARTS OF ELECTRICAL APPARATUS/EQUIPMENTTE-0263 CONTACT BASE M/N FRAMEPART NO: CU-C8010008-0989-C67207,INDIA_EXPORT,TRUE,"['electrical apparatus', 'equipment', 'contact base', 'frame']"
INDIA,"100% WOOL POWRLOOM WOVEN SCARVES, SIZE :90 X 190 CMS",INDIA_EXPORT,TRUE,['wool powrloom woven scarf']
INDIA,"HANDICRAFTS OF BRASS, GLASS, MDF, PLYBOARD, IRON, ALUM - ETCHED LINE BRS MIR 38X50 ORB",INDIA_EXPORT,TRUE,"['handicraft', 'brass', 'glass', 'mdf', 'plyboard', 'iron', 'alum', 'etch', 'line', 'br', 'mir', 'orb']"
INDIA,FOOD COLOUR (POWDER FORM) BLACK CHOCOLATA COLOUR POWDER (Packing : 1 Crtn.=80 Tin X 100gms = 8 Kgs),INDIA_EXPORT,TRUE,"['food color powder', 'black chocolate', 'crtn tin']"
INDIA,Luxury Organic Sateen Fitted Sheet Set Full   WhiteBABY INVOICE 7767469BABY HOUSE 6227937564,INDIA_EXPORT,TRUE,"['luxury organic sateen fit sheet set', 'whitebaby invoice house']"
INDIA,Electrical Wiring Accessories BRASS  - BW Brass Cable Gland Kit,INDIA_EXPORT,TRUE,"['electrical wiring', 'brass cable gland', 'kit']"
INDIA,"OTHER ARTICLES OF BRASS 100% BRASSCOMPOSITION: Brass Cucu 1000ID, 500H with Rolled Edge",INDIA_EXPORT,TRUE,"['brass', 'brasscomposition', 'cucu roll']"
INDIA,100% COTTON KNITTED KIDS BOYS SHORT SLVT-SHIRT - PO:EE11622 - STYLE-728,INDIA_EXPORT,TRUE,"['cotton knit kid short slvt shirt', 'boy short slvt shirt', 'short slvt shirt']"
INDIA,"RUBBER MATS- RUBBER HOLLOW MATS(CIRCLE)SIZE:40X70CMS,17MM THICK(264BDLS)",INDIA_EXPORT,TRUE,"['rubber mat', 'hollow mat', 'circle', 'thick']"
INDIA,"HAND WOVEN CARPETS (90% WOOL, 10% ) SIZE90 X 160 CMS",INDIA_EXPORT,TRUE,"['hand weave carpet', 'wool']"
INDIA,DFINK FITTING & TIP FITTING MACHINE NO:1,INDIA_EXPORT,TRUE,['dfink fitting tip machine']
INDIA,RUBBER & SILICONE HOSES SCL 76-1000B,INDIA_EXPORT,TRUE,"['rubber hose', 'silicone hose', 'scl']"
INDIA,Current Transformers below 1 Kva - PO. NO. & LINE NO. 4508200138 & 00004 ZA0GCR_TP_MT_01 Ratio :.13.2KV/RT3//100V/RT3/10,INDIA_EXPORT,TRUE,"['current transformer', 'kva', 'line ratio']"
INDIA,INDIAN HAND KNOTTED SILK CARPET - SILK 80% & COTTON 20%,INDIA_EXPORT,TRUE,"['indian hand knot silk', 'carpet', 'silk']"
INDIA,CUT & POLISHED DIAMONDS R B F-SI2SM-348107 GIA:1495187630 ID:100757864388 1 Pcs,INDIA_EXPORT,TRUE,"['cut polished diamond', 'GIA PC']"
INDIA,C & P LAB GROWN DIAMONDS LABGROWN OVALBRILLIANT E VVS2 1 PCS IGI LG653426938,INDIA_EXPORT,TRUE,"['lab grow diamond', 'labgrown', 'ovalbrilliant', 'pc', 'igi']"
INDIA,VAGSTRANDA-F180X200 -VAGSTRANDAPKTSPRG.MAT.F180X200 00450757 -0000119858.HU#: 6001710068,INDIA_EXPORT,TRUE,"['vagstranda', 'vagstrandapktsprg']"
INDIA,"NYLON 6 THERMOPLASTIC COMPOUNDED GRANUELS PA6 30GF NATURAL BRAND: CILON, TYPE-NON-FR , COLOR-NATURAL",INDIA_EXPORT,TRUE,"['nylon', 'thermoplastic compound', 'cilon']"
INDIA,GLOVE MADEUP OF SHEEP LEATHER-Patched mitten from full leather with Fleece lining Padding Elasticsoft cuff COLOUR-Brown,INDIA_EXPORT,TRUE,"['glove', 'sheep leather', 'mitten', 'fleece lining', 'pad', 'elasticsoft cuff']"
INDIA,CPDLG F/CUT LAB GROWN ASSCHER 2.00 MM WHITE SI2 1.85 - 2.15 X 1.10 - 1.70 MM onConsignment Basis 9 PCS  ON CONSIGNMENT,INDIA_EXPORT,TRUE,"['cpdlg', 'lab grow', 'asscher', 'white']"
INDIA,CUT & POLISHED DIAMONDS FANCY CUTBAGUETTE  F VVS1 3.32 2.3 1.43  1/9PCS/CTS CONSIGNMENT BASIS,INDIA_EXPORT,TRUE,"['cut polished diamond', 'fancy cutbaguette']"
INDIA,SUPPLY OF SPARES FOR CTCS - CTCS BALL PUMP Mechanical Seal PART NO: PJ05010001-004989,INDIA_EXPORT,TRUE,"['ctcs ball', 'pump', 'mechanical seal']"
INDIA,"STEEL BUILDERS HARDWARE-M.S RING (7 PACK) OD 68 X ID 50MM  BRONZE POLY PACK,ITEMCODE:8926806",INDIA_EXPORT,TRUE,"['steel builder hardware', 'ring pack', 'bronze', 'poly itemcode']"
INDIA,CUT & POLISHED DIAMONDS R B E-VVS2SM-343149 GIA:6491240847 ID:100758070618 1 Pcs,INDIA_EXPORT,TRUE,"['cut polished diamond', 'GIA PC']"
INDIA,"SWITCHGEAR PARTS & ASSEMBLIES ELECTRICALWIRING ACCESSORIES&PLASTIC MOULDED PARTSVALVE, CHECK-2 5 7012004H01",INDIA_EXPORT,TRUE,"['switchgear', 'part', 'assembly', 'electricalwire', 'accessory', 'plastic mould', 'parts', 'valve']"
INDIA,"925F SILVER JEWELLERY STUDDED WITH PRECIOUS & SEMI PRECIOUS STONES - RINGS,PENDANTS,STUDS",INDIA_EXPORT,TRUE,"['silver jewellery', 'precious semi stone', 'ring', 'pendant']"
INDIA,CPD F/C Oval Brilliant G VVS1 GIA 1503550032(6.26   4.47   2.79) (1 PCS) ON CONSIGNMENT BASIS,INDIA_EXPORT,TRUE,"['cpd', 'oval', 'brilliant', 'gia', 'pc']"
INDIA,INR RELEASE HNDL ASSY FRT DR L,INDIA_EXPORT,TRUE,"['inr', 'handle', 'assy', 'frt']"
INDIA,"FROZEN CUTTLE FISH WHOLE. PACKING: 4 BLOCKS X 5 KGS = 20 KGS NET. PER M/C, SIZE: 20/50 - 1300 CTNS.",INDIA_EXPORT,TRUE,"['frozen cuttle fish', 'pack block', 'kg', 'net size', 'ctns']"
INDIA,MF 50-50 IN 11 MOC PUMP NO. 1801024001 AND 1801024002 BARE SHAFT,INDIA_EXPORT,TRUE,['moc pump']
INDIA,OTHER CLOCK OR WATCH PARTS FOR WATCHES (WATCH  HANDS) HA6124,INDIA_EXPORT,TRUE,"['clock', 'watch', 'watch hand']"
INDIA,OTHER TANKER PARTS - UCC-DC-42 HUB REXROTH KFA 118334 21284,INDIA_EXPORT,TRUE,"['tanker', 'part', 'ucc', 'hub', 'rexroth', 'kfa']"
